"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";41376;40232;81608
"1 ano";40388;38666;79054
"2 anos";40260;38505;78765
"3 anos";41431;39940;81371
"4 anos";43480;41467;84947
"5 anos";43998;42059;86057
"6 anos";43318;41405;84723
"7 anos";42834;41421;84255
"8 anos";44354;42338;86692
"9 anos";48477;46581;95058
"10 anos";53080;50598;103678
"11 anos";52184;49730;101914
"12 anos";51972;50465;102437
"13 anos";53476;51285;104761
"14 anos";54229;52764;106993
"15 anos";56868;55291;112159
"16 anos";53914;53150;107064
"17 anos";54213;52752;106965
"18 anos";55055;53345;108400
"19 anos";56127;54471;110598
"20 a 24 anos";287316;278342;565658
"25 a 29 anos";286179;280304;566483
"30 a 34 anos";256324;254824;511148
"35 a 39 anos";234504;236585;471089
"40 a 44 anos";230018;234200;464218
"45 a 49 anos";216576;225071;441647
"50 a 54 anos";179383;187597;366980
"55 a 59 anos";143895;152906;296801
"60 a 64 anos";106909;116561;223470
"65 a 69 anos";73382;83975;157357
"70 a 74 anos";52332;64645;116977
"75 a 79 anos";32789;45583;78372
"80 anos e mais";29719;51018;80737
"Total";3100360;3148076;6248436
&
