"Faixa Etária 1";"Masculino";"Feminino";"Total"
"0 a 4 anos";223072;212893;435965
"5 a 9 anos";233122;223089;456211
"10 a 14 anos";245918;235724;481642
"15 a 19 anos";269924;256764;526688
"20 a 24 anos";300238;283617;583855
"25 a 29 anos";317557;298841;616398
"30 a 34 anos";314254;296254;610508
"35 a 39 anos";307116;292443;599559
"40 a 44 anos";263523;256232;519755
"45 a 49 anos";239377;236846;476223
"50 a 54 anos";230105;231071;461176
"55 a 59 anos";213298;219778;433076
"60 a 64 anos";169287;178993;348280
"65 a 69 anos";127979;141284;269263
"70 a 74 anos";85887;102430;188317
"75 a 79 anos";51448;67730;119178
"80 a 84 anos";29766;45205;74971
"85 a 89 anos";14316;25078;39394
"90 anos e mais";7871;17863;25734
"Total";3644058;3622135;7266193
&
